Food code;Main food description;WWEIA Category number;WWEIA Category description;Energy;Protein;Carbohydrate;Total Fat;Calcium;Iron
92102080;Frozen mocha coffee drink, decaffeinated, with non-dairy milk;7302;Coffee;58;0,52;12,28;0,76;70;0,16
92102090;Frozen mocha coffee drink, decaffeinated, with whipped cream;7302;Coffee;81;1,54;12,64;2,68;58;0,02
92102100;Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream;7302;Coffee;74;1,57;12,65;1,91;60;0,02
92102110;Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream;7302;Coffee;73;0,6;11,84;2,56;69;0,16
92102400;Iced Coffee, brewed;7302;Coffee;1;0,09;0;0,02;2;0,01
92102401;Iced Coffee, brewed, decaffeinated;7302;Coffee;0;0,08;0;0;2;0,04
92102450;Iced Coffee, pre-lightened and pre-sweetened;7302;Coffee;31;0,25;4,94;1,12;7;0,01
92102500;Coffee, Iced Latte;7302;Coffee;27;1,75;2,81;1,01;66;0,02
92102501;Coffee, Iced Latte, nonfat;7302;Coffee;19;1,78;2,82;0,07;69;0,02
92102502;Coffee, Iced Latte, with non-dairy milk;7302;Coffee;24;1,36;2,83;0,79;65;0,24
92102503;Coffee, Iced Latte, flavored;7302;Coffee;40;1,69;6,09;0,98;64;0,02
92102504;Coffee, Iced Latte, nonfat, flavored;7302;Coffee;32;1,72;6,1;0,08;67;0,02
92102505;Coffee, Iced Latte, with non-dairy milk, flavored;7302;Coffee;31;0,59;5,16;0,84;77;0,18
92102510;Coffee, Iced Latte, decaffeinated;7302;Coffee;27;1,75;2,82;1,01;66;0,02
92102511;Coffee, Iced Latte, decaffeinated, nonfat;7302;Coffee;19;1,79;2,83;0,07;70;0,02
92102512;Coffee, Iced Latte, decaffeinated, with non-dairy milk;7302;Coffee;18;0,61;1,86;0,86;81;0,19
92102513;Coffee, Iced Latte, decaffeinated, flavored;7302;Coffee;40;1,69;6,12;0,99;64;0,02
92102514;Coffee, Iced Latte, decaffeinated, nonfat, flavored;7302;Coffee;32;1,73;6,13;0,08;67;0,02
92102515;Coffee, Iced Latte, decaffeinated, with non-dairy milk, flavored;7302;Coffee;31;0,59;5,18;0,84;78;0,18
92102600;Coffee, Iced Cafe Mocha;7302;Coffee;50;1,58;8,95;0,91;60;0,02
92102601;Coffee, Iced Cafe Mocha, nonfat;7302;Coffee;43;1,61;8,96;0,07;63;0,02
92102602;Coffee, Iced Cafe Mocha, with non-dairy milk;7302;Coffee;42;0,55;8,07;0,78;73;0,17
92102610;Coffee, Iced Cafe Mocha, decaffeinated;7302;Coffee;51;1,59;8,99;0,92;60;0,02
92102611;Coffee, Iced Cafe Mocha, decaffeinated, nonfat;7302;Coffee;43;1,62;9;0,06;63;0,02
92102612;Coffee, Iced Cafe Mocha, decaffeinated, with non-dairy milk;7302;Coffee;42;0,55;8,1;0,78;73;0,17
92103000;Coffee, instant, reconstituted;7302;Coffee;3;0,1;0,63;0;4;0,04
92104000;Coffee, instant, 50% less caffeine, reconstituted;7302;Coffee;3;0,12;0,61;0;4;0,04
92111000;Coffee, NS as to brewed or instant, decaffeinated;7302;Coffee;0;0,1;0;0;2;0,05
92111010;Coffee, brewed, decaffeinated;7302;Coffee;0;0,1;0;0;2;0,05
92114000;Coffee, instant, decaffeinated, reconstituted;7302;Coffee;3;0,1;0,64;0;4;0,03
92121000;Coffee, instant, pre-lightened and pre-sweetened with sugar, reconstituted;7302;Coffee;27;0,15;5,11;0,7;4;0,04
92121001;Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, reconsitituted;7302;Coffee;27;0,14;5,11;0,69;4;0,04
92121010;Coffee, instant, pre-sweetened with sugar, reconstituted;7302;Coffee;16;0,1;3,96;0,02;4;0,04
92121030;Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted;7302;Coffee;15;0,32;2,46;0,43;5;0,11
92121040;Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted;7302;Coffee;16;0,15;2,37;0,7;4;0,04
